T,L,E,Ms,Cv,chi_s,U,periodica,intento
2.0,16,-142.31451428571646,0.052754464285714286,0.1282676848979598,0.10271702423469387,0.30472188315339466,False,18
1.5,16,-161.93708571428547,0.061800223214285716,0.1998216598582682,0.19073562308673458,0.30245324631729775,False,18
1.0,16,-199.61325714285698,0.10131026785714285,0.4990628848979384,0.8153352755102041,0.2584268607930782,False,18
0.5,16,-263.6178857142812,0.44086997767857145,0.10053107300996089,0.2696507460140225,0.6632716768843654,False,18
0.1,16,-269.7995428571411,0.49801339285714286,0.030714204092419088,0.020700255101999687,0.6666236028325321,False,18
3.5,16,-105.9310285714251,0.04510491071428571,0.06776303847459299,0.04255717966472302,0.3129225975497585,False,23
3.0,16,-115.65731428571816,0.04702790178571428,0.07869757226615724,0.05277776690051024,0.31430847893396396,False,23
2.5,16,-126.94411428571745,0.04930970982142857,0.0985500765632662,0.07072669741709184,0.3145034261334577,False,23
2.0,16,-141.9182285714303,0.05251841517857143,0.12863148354272624,0.10137795882493622,0.3118190728901621,False,23
1.5,16,-162.39605714285798,0.06256138392857143,0.19459509205781464,0.1938527795493199,0.30562863455304645,False,23
1.0,16,-199.81017142857033,0.10191294642857143,0.48947656015303664,0.7885667742346936,0.29287930781917826,False,23
0.5,16,-263.53114285713957,0.44030636160714287,0.10933770280621502,0.27243752535075316,0.6631874338445833,False,23
0.1,16,-269.79399999999816,0.497953125,0.03171808036768197,0.021740892857167182,0.6666214572364855,False,23
3.5,16,-106.10548571428592,0.04545033482142857,0.06780244302790414,0.04289921626731049,0.3079415230856709,False,20
3.0,16,-115.57920000000587,0.04679575892857143,0.08057882015873158,0.05156828858418368,0.3212900427799138,False,20
2.5,16,-126.88102857143399,0.049655691964285716,0.09935761076734821,0.07221022675382653,0.31592796429686754,False,20
2.0,16,-141.9391428571464,0.05235044642857143,0.13312948588967188,0.10168760586734688,0.3100926945407311,False,20
