mcs,E,M,Ms,E_prom,E2_prom,M_prom,M2_prom,Ms_prom,Ms2_prom,Ms4_prom
102,-269.1999999999982,2,0.01171875,269.70873786407634,72743.33514563015,0.07766990291262135,2.8737864077669903,0.0023513349514563105,3.2295301122572815e-05,4.752909818899284e-08
103,-269.5999999999982,2,0.00390625,269.707692307691,72742.76615384522,0.09615384615384616,2.8846153846153846,0.0023662860576923075,3.213148850661058e-05,4.707432638567228e-08
104,-269.9999999999982,0,0.0,269.7104761904749,72744.26361904669,0.09523809523809523,2.857142857142857,0.00234375,3.1825474330357145e-05,4.6625999467713495e-08
105,-269.5999999999982,-2,0.00390625,269.70943396226284,72743.69660377267,0.07547169811320754,2.8679245283018866,0.0023584905660377358,3.166918484669811e-05,4.6188328063712927e-08
106,-269.9999999999982,0,0.0,269.71214953270896,72745.15738317664,0.07476635514018691,2.8411214953271027,0.002336448598130841,3.137321115654205e-05,4.5756661446295054e-08
107,-269.9999999999982,0,0.0,269.7148148148135,72746.59111111019,0.07407407407407407,2.814814814814815,0.0023148148148148147,3.108271846064815e-05,4.533298865512565e-08
108,-269.9999999999982,0,0.0,269.71743119265926,72747.99853210917,0.07339449541284404,2.7889908256880735,0.0022935779816513763,3.07975559059633e-05,4.4917089676638264e-08
109,-269.1999999999982,0,0.0,269.71272727272594,72745.45890908998,0.07272727272727272,2.7636363636363637,0.0022727272727272726,3.0517578125e-05,4.450875249775973e-08
110,-269.9999999999982,0,0.0,269.715315315314,72746.85117117024,0.07207207207207207,2.7387387387387387,0.0022522522522522522,3.0242644988738738e-05,4.410777274552766e-08
111,-269.9999999999982,0,0.0,269.71785714285585,72748.21857142764,0.07142857142857142,2.7142857142857144,0.002232142857142857,2.9972621372767856e-05,4.371395334601402e-08
112,-269.9999999999982,0,0.0,269.7203539822996,72749.56176991058,0.07079646017699115,2.690265486725664,0.0022123893805309734,2.9707376935840707e-05,4.332710420135903e-08
113,-269.9999999999982,0,0.0,269.7228070175426,72750.88140350784,0.07017543859649122,2.6666666666666665,0.0021929824561403508,2.944678591008772e-05,4.2947041883803254e-08
114,-269.1999999999982,-4,0.0078125,269.71826086956395,72748.42713043385,0.034782608695652174,2.782608695652174,0.0022418478260869566,2.972146739130435e-05,4.26059831743655e-08
115,-269.1999999999982,-2,0.01171875,269.71379310344696,72746.01517241287,0.017241379310344827,2.793103448275862,0.0023235452586206897,3.0649119410021555e-05,4.2401270234379274e-08
116,-269.9999999999982,0,0.0,269.71623931623805,72747.33128205033,0.017094017094017096,2.769230769230769,0.0023036858974358975,3.0387161124465812e-05,4.2038866215282013e-08
117,-269.9999999999982,0,0.0,269.71864406779537,72748.62508474481,0.01694915254237288,2.7457627118644066,0.0022841631355932203,3.0129642809851696e-05,4.168260463718641e-08
118,-269.5999999999982,2,0.00390625,269.71764705882225,72748.08336134358,0.03361344537815126,2.7563025210084033,0.002297794117647059,3.0004677652310923e-05,4.1334287208669326e-08
119,-269.5999999999982,2,0.00390625,269.7166666666654,72747.5506666657,0.05,2.7666666666666666,0.0023111979166666667,2.9881795247395832e-05,4.099177507062753e-08
120,-269.5999999999982,-2,0.00390625,269.71570247933755,72747.02677685853,0.03305785123966942,2.7768595041322315,0.0023243801652892563,2.976094395661157e-05,4.065492429023932e-08
121,-269.9999999999982,0,0.0,269.718032786884,72748.28065573673,0.03278688524590164,2.7540983606557377,0.002305327868852459,2.9517001793032786e-05,4.0321687205893094e-08
122,-269.5999999999982,-2,0.00390625,269.71707317073043,72747.75934959251,0.016260162601626018,2.7642276422764227,0.0023183434959349594,2.9401081364329267e-05,3.999576154278546e-08
123,-269.9999999999982,0,0.0,269.7193548387084,72748.9870967732,0.016129032258064516,2.7419354838709675,0.002299647177419355,2.9163975869455646e-05,3.967321507873074e-08
124,-269.9999999999982,0,0.0,269.7215999999988,72750.195199999,0.016,2.72,0.00228125,2.89306640625e-05,3.9355829358100894e-08
125,-269.5999999999982,2,0.00390625,269.7206349206337,72749.6711111101,0.031746031746031744,2.7301587301587302,0.0022941468253968255,2.8822157118055555e-05,3.9045329368303695e-08
126,-269.5999999999982,2,0.00390625,269.7196850393688,72749.15527558954,0.047244094488188976,2.7401574803149606,0.002306840551181102,2.8715358944389764e-05,3.873971914212535e-08
127,-269.5999999999982,2,0.00390625,269.71874999999875,72748.64749999899,0.0625,2.75,0.0023193359375,2.86102294921875e-05,3.843888407573104e-08
128,-269.9999999999982,0,0.0,269.7209302325569,72749.82077519278,0.06201550387596899,2.7286821705426356,0.002301356589147287,2.838844476744186e-05,3.814090823018274e-08
129,-269.9999999999982,0,0.0,269.72307692307567,72750.97599999898,0.06153846153846154,2.707692307692308,0.0022836538461538463,2.8170072115384617e-05,3.78475166284121e-08
130,-269.9999999999982,0,0.0,269.7251908396934,72752.11358778522,0.061068702290076333,2.687022900763359,0.0022662213740458014,2.7955033396946564e-05,3.7558604287737197e-08
131,-269.9999999999982,0,0.0,269.7272727272715,72753.2339393929,0.06060606060606061,2.6666666666666665,0.0022490530303030305,2.774325284090909e-05,3.727406940676949e-08
132,-269.9999999999982,0,0.0,269.7293233082695,72754.33744360798,0.06015037593984962,2.6466165413533833,0.002232142857142857,2.7534656954887217e-05,3.6993813245816337e-08
133,-269.9999999999982,0,0.0,269.7313432835809,72755.4244776109,0.05970149253731343,2.626865671641791,0.0022154850746268656,2.732917444029851e-05,3.6717740012638607e-08
134,-269.9999999999982,0,0.0,269.73333333333215,72756.49540740636,0.05925925925925926,2.6074074074074076,0.002199074074074074,2.712673611111111e-05,3.6445756753285725e-08
135,-269.9999999999982,0,0.0,269.7352941176459,72757.55058823423,0.058823529411764705,2.588235294117647,0.002182904411764706,2.692727481617647e-05,3.617777324774686e-08
136,-269.1999999999982,4,0.0,269.73138686131267,72755.44175182376,0.08759124087591241,2.6861313868613137,0.002166970802919708,2.6730725364963505e-05,3.591370191017207e-08
137,-269.9999999999982,0,0.0,269.73333333333215,72756.48927536125,0.08695652173913043,2.6666666666666665,0.002151268115942029,2.653702445652174e-05,3.5653457693431687e-08
138,-269.5999999999982,-2,0.00390625,269.73237410071823,72755.96892086223,0.07194244604316546,2.676258992805755,0.0021638938848920863,2.6455886072392088e-05,3.539863303839732e-08
139,-269.9999999999982,0,0.0,269.73428571428457,72756.99771428463,0.07142857142857142,2.657142857142857,0.0021484375,2.6266915457589287e-05,3.514578565955162e-08
140,-269.5999999999982,2,0.00390625,269.73333333333215,72756.48113475069,0.0851063829787234,2.6666666666666665,0.002160904255319149,2.6188843639184398e-05,3.489817604950979e-08
141,-269.9999999999982,0,0.0,269.7352112676045,72757.49183098483,0.08450704225352113,2.647887323943662,0.00214568661971831,2.6004415162852112e-05,3.465241424634423e-08
142,-269.9999999999982,0,0.0,269.73706293706175,72758.4883916073,0.08391608391608392,2.629370629370629,0.002130681818181818,2.582256610576923e-05,3.441008967119497e-08
143,-269.1999999999982,0,0.0,269.73333333333215,72756.47555555445,0.08333333333333333,2.611111111111111,0.0021158854166666665,2.5643242730034723e-05,3.4171130715145004e-08
144,-269.9999999999982,0,0.0,269.73517241379193,72757.46537930924,0.08275862068965517,2.593103448275862,0.0021012931034482757,2.5466392780172414e-05,3.393546774469573e-08
145,-269.1999999999982,0,0.0078125,269.7315068493139,72755.48712328657,0.0821917808219178,2.5753424657534247,0.0021404109589041095,2.5710014447773974e-05,3.372854872109139e-08
146,-269.5999999999982,-2,0.00390625,269.7306122448968,72755.0019047608,0.06802721088435375,2.5850340136054424,0.002152423469387755,2.563891767644558e-05,3.350068669335372e-08
147,-269.5999999999982,-2,0.00390625,269.72972972972855,72754.52324324213,0.05405405405405406,2.5945945945945947,0.0021642736486486487,2.5568781672297297e-05,3.3275903882207094e-08
148,-269.9999999999982,0,0.0,269.7315436241599,72755.49959731432,0.053691275167785234,2.577181208053691,0.002149748322147651,2.5397179110738256e-05,3.3052575668232556e-08
149,-269.9999999999982,0,0.0,269.73333333333215,72756.46293333221,0.05333333333333334,2.56,0.0021354166666666665,2.5227864583333333e-05,3.2832225163777666e-08
150,-269.9999999999982,0,0.0,269.7350993377472,72757.41350993265,0.052980132450331126,2.543046357615894,0.002121274834437086,2.506079263245033e-05,3.2614793209050664e-08
151,-269.5999999999982,-2,0.00390625,269.73421052631465,72756.93157894624,0.039473684210526314,2.5526315789473686,0.002133018092105263,2.499630576685855e-05,3.240175398164674e-08
